User,Rating,Date,ISO_Date,Review,Review_Length,Response
Thya Aristha,4.0,setahun lalu,2023-09-16T12:06:11Z,"Harga sangat sangat affordable & enak-enak semua. Bisa utk semua kalangan bahkan anak pelajar. Recommended. Buat parkir mobil agak susah ya jadi harus pinter2 cari parkir sendiri. Mereka hanya menyediakan parkir motor aja.
Harga menu mulai dari 9000
Porsi banyak, level 3 nya pedes banget buat saya.
Suasana nyaman, cocok buat kumpul2",334,
Nazwa Aulia,1.0,seminggu lalu,2025-05-28T16:35:14Z,"BARU DUDUK udh di tegur klo gabisa lama lama soalnya area belakang bakal ditutup. Puncaknya adalah ketika ada KECOAK naik naik meja, kita minta tolong buat diusirin jawabannya ""udh gaada kok teh, udah pergi"" maksudnya????? apa ya kak?????? minimal dicari biar kecoaknya ga naik meja lagi. huft.",294,
Dea Amelya Putri,5.0,2 bulan lalu,2025-03-31T12:10:02Z,"tempatnya nyaman, pelayanan bagus, dan suka bangett sama lumpia udangnya",72,
Adinda Nur Inayah,5.0,sebulan lalu,2025-04-14T09:17:47Z,"Biasanya order online, sesekali pengen dine in, tapi ternyata penuh sangaat karna masih dalam rentang waktu buka puasa (datang setelah isya), akhirnya take away aja.

Semurah itu dengan rasa yg enak. Cuma kadang bingung sama lv pedesnya, pesen mie gacoan lv 1 sama lv 2 berasa sama pedesnya. Anak-anak suka mie suit, pangsit goreng, dan udang rambutannya.

Mungkin lain waktu pengen bener2 coba dine in.",403,
fitri puspitasari,5.0,9 bulan lalu,2024-08-14T19:15:05Z,"Tempatnya nyaman . Pas dateng kesitu lagi cukup rame, tapi makanan ga terlalu lama datengnya . Oia, kalo mau gacoan lebih pilih dine in langsung daripada takeaway via online food, suka ada aja kurang atau salahnya kalo order via online disini 😅🤣",245,
Loris Suis,1.0,3 bulan lalu,2025-02-19T08:39:19Z,Mie gacoan paling kotor se indonesia. Meja tidak di bersihkan. Pelayanan tidak ramah. Pecat aja pegawainya,106,
Landung Jahfal,1.0,4 minggu lalu,2025-05-10T15:09:29Z,"Yth. Pimpinan/Manajemen Mie Gacoan Setiabudhi, Bandung.

Dengan hormat,
Saya ucapkan terima kasih atas ketersediaannya dalam menghadirkan Mie Gacoan di Setiabudhi. Namun, tolong diperhatikan kembali mengenai PELAYANAN  PARKIR, urusan kendaraan JIKA DILUAR AREA PARKIR YANG SEHARUSNYA itu tidak dikenakan parkir dan sudah menjadi tanggung jawab pribadi jika terjadi hal yang tidak diinginkan (di Mie Gacoan manapun yang saya temukan, tidak dikenakan parkir jika masih di area luar) serta pada akhirnya penjaga parkir menghampiri kendaraan saya yang DILUAR AREA PARKIRAN MIE GACOAN yang kesannya maksa. Apakah pimpinan/manajemen Mie Gacoan Setiabudhi tidak dapat menindak tegas atas kasus kejadian seperti ini? Sudah lama jika dilihat dari ulasan.

Jika diperkenankan memberikan saran, contohlah Mie Gacoan Jatinangor yang menggunakan sistem parkir menggunakan tiket otomatis. Lebih berkenan jika seperti itu dikelolanya. Ditunggu tindakan tegas lebih lanjut.

Atas perhatiannya, saya ucapkan terima kasih.",1004,
Daffa Putri,4.0,11 bulan lalu,2024-06-28T07:50:45Z,"Overall oke, udah pake alat jugaa jadi kalau pesanannua udh jadi alatnya akan bunyi, pilihan tempat duduknya banyak bangett, ada outdoor juga
Untuk makanannya paling recomended udang keju, minumannya aku pesen yg teklek rada terlalu manis yaa, untuk mie gaciannya juga level 1 tapi pedes bangett
Kalo pilih tempat duduk yg agak pojok ada stop kontak
Westafle juga bersihh
U",373,
Annisa Puzianti,3.0,setahun lalu,2024-04-23T00:23:31Z,"jujur saya jarang bnget kasi bintang kurang dari 3 kecuali udh bener2 bad experience bnget🥲

untuk mie gacoan setiabudi ini saya kasi 3 sepertinya, pengalamannya agak kurang menyenangkan dibandingkan gacoan yg dipatiukur menurut saya, kemarin saya makan disini, meja terpantau belum di clear up sehingga saya makan berdampingan dengan piring dan bekas makan yg kotor juga meja yg basah bekas minuman sampai saya selesai makan, ternyata ada bonus serangga juga di mie saya🥲

saya udh laper jadi emng gak mau dibawa ribet aja, tapi saya udh minta tolong ke beberapa crew untuk clear up table saya tersebut tapi ternyata nihil, ada karyawan yg keliling clear up tapi kenapa table saya di skip ya😣

untuk cashier, hospitality nya bisa lebih ditingkatkan lgi dengan smile voice dan tingkat kefokusannya, buat impresi yg bagus

ada half self service untuk pengambilan dimsum dan minuman yg menggunakan alarm, tetapi kasian pacar saya mau ambil tidak ada yg melayani🥲 menghindari resiko tertukarnya produk karena tidak sepenuhnya customer mie gacoan itu sendiri sudah benar2 tau produknya yg mana mana nya

untuk service time makanan cukup cepat itu plus nya☺️ semoga bisa belajar selalu yaaa
terimakasihhh",1199,
Yana Julyant,5.0,setahun lalu,2023-06-28T03:47:27Z,"Rasanya enak dan murah, kalo mau tidak terlalu ramai datangnya sebelum jam makan siang jadi tidak antri panjang. Untuk dimsum agak lama datangnya, karena harus nungguin agak lama jadi mienya dingin. Untuk minumannya kadang suka terlalu manis. Buat yang tidak bisa terlalu pedas, mending kasih note untuk cabenya dipisah.",320,
